Summary,Issue Type,Description,Priority,Labels,Epic Name,Epic Link,Sprint,Story Points,Components
"EPIC S0: Platform Foundation","Epic","Set up delivery foundations for Souqly across backend, frontend, and ops.","Highest","souqly,blueprint,foundation","S0 Platform Foundation",,,,
"S0-01 Monorepo quality gates","Story","Create mandatory quality gates for PRs.\nAC:\n- backend lint/build/test run in CI\n- frontend lint/build run in CI\n- blocking status checks enabled","Highest","souqly,ci,quality",,"S0 Platform Foundation","Sprint 0",5,"backend,frontend,devops"
"S0-02 Observability baseline","Story","Implement structured logs and request correlation IDs.\nAC:\n- all API requests have correlation id\n- errors include traceable context\n- dashboard-ready log fields are present","High","souqly,observability",,"S0 Platform Foundation","Sprint 0",5,"backend,devops"
"S0-03 Seed geo and taxonomy","Story","Load countries (SY/JO/LB/PS/IQ), cities, categories, and attributes.\nAC:\n- deterministic seed script exists\n- rerunnable without duplicates\n- validation checks country/city/category integrity","Highest","souqly,seed,data",,"S0 Platform Foundation","Sprint 0",3,"backend"

"EPIC S1: Auth RBAC Identity Core","Epic","Finalize authentication and authorization contract with staffRole-only runtime policies.","Highest","souqly,auth,rbac","S1 Auth RBAC Identity Core",,,,
"S1-01 StaffRole-only authorization contract","Story","Retire legacy role mutation path and enforce staffRole runtime authorization.\nAC:\n- no controller/service authorization reads legacy role\n- admin role change uses accountType/staffRole only\n- regression tests updated and passing","Highest","souqly,auth,rbac,hardening",,"S1 Auth RBAC Identity Core","Sprint 1",8,"backend"
"S1-02 Session and token security hardening","Story","Harden JWT access/refresh lifecycle with rotation and revocation hooks.\nAC:\n- refresh rotation implemented\n- logout/password change revokes refresh chain\n- suspicious session events are logged","High","souqly,security,auth",,"S1 Auth RBAC Identity Core","Sprint 1",5,"backend"
"S1-03 Auth contract documentation sync","Story","Align docs and API contracts for auth and RBAC.\nAC:\n- OpenAPI/auth docs updated\n- architecture and assumptions updated\n- no stale legacy role references","Medium","souqly,docs,api",,"S1 Auth RBAC Identity Core","Sprint 1",3,"backend"

"EPIC S2: Listings and Moderation","Epic","Complete listings lifecycle with policy validation, quotas, and moderation control.","Highest","souqly,listings,moderation","S2 Listings and Moderation",,,,
"S2-01 Listing validation policy engine","Story","Enforce business validation at API layer for listing creation and updates.\nAC:\n- title/description/price/image/category validations enforced\n- country/city consistency enforced\n- craftsman service-only category restriction enforced","Highest","souqly,listings,validation",,"S2 Listings and Moderation","Sprint 2",8,"backend"
"S2-02 Quota and subscription enforcement","Story","Apply INDIVIDUAL monthly quota and STORE active-subscription rules on publish/create.\nAC:\n- INDIVIDUAL blocked at 50 published/month\n- STORE create blocked when subscription inactive\n- audit trail recorded for policy denials","Highest","souqly,listings,quota,subscription",,"S2 Listings and Moderation","Sprint 2",8,"backend"
"S2-03 Moderation queue SLA workflow","Story","Improve moderation flow with reject reasons and queue readiness.\nAC:\n- rejection reason mandatory for reject action\n- pending/reported queue filters ready\n- moderation actions stored in immutable audit logs","High","souqly,moderation,admin",,"S2 Listings and Moderation","Sprint 2",5,"backend,frontend"

"EPIC S3: Search Map Discovery","Epic","Deliver fast discovery with filters, map mode, and near-me behavior.","Highest","souqly,search,map","S3 Search Map Discovery",,,,
"S3-01 URL-synced advanced filters","Story","Implement shareable filters with canonical query params.\nAC:\n- filters persist via URL\n- minPrice/maxPrice validated\n- category/subcategory consistency validated","High","souqly,search,ux",,"S3 Search Map Discovery","Sprint 3",5,"frontend,backend"
"S3-02 Map view and marker clustering","Story","Add map mode with clustering and list/map toggle.\nAC:\n- list/map toggle preserves filters\n- dense results cluster correctly\n- mobile and desktop map UX verified","High","souqly,map,frontend",,"S3 Search Map Discovery","Sprint 3",8,"frontend"
"S3-03 Near-me radius search","Story","Ship geolocation-based nearby search and nearest city fallback.\nAC:\n- radius range 1..200 validated\n- denied geolocation handled gracefully\n- nearest city endpoint integrated","High","souqly,geo,search",,"S3 Search Map Discovery","Sprint 3",5,"frontend,backend"

"EPIC S4: Realtime Chat Offers Notifications","Epic","Strengthen chat, offers, and reliable notification delivery.","Highest","souqly,chat,notifications","S4 Realtime Chat Offers Notifications",,,,
"S4-01 Chat reliability and retries","Story","Improve message reliability under reconnect/failure scenarios.\nAC:\n- failed send retry flow exists\n- duplicate thread race protected by unique contract\n- reconnect sync fetches missed messages","High","souqly,chat,realtime",,"S4 Realtime Chat Offers Notifications","Sprint 4",8,"backend,frontend"
"S4-02 Offer and phone-request policy","Story","Finalize offer response and phone-request guardrails.\nAC:\n- offer amount and quantity validation enforced\n- only counterpart can respond to offer\n- phone request is rate-limited per thread","High","souqly,offers,policy",,"S4 Realtime Chat Offers Notifications","Sprint 4",5,"backend"
"S4-03 Persistent notifications hardening","Story","Persist notifications and ensure read state consistency across devices.\nAC:\n- notifications survive reconnect/restart\n- unread count API matches UI state\n- read-all operation is idempotent","High","souqly,notifications,persistence",,"S4 Realtime Chat Offers Notifications","Sprint 4",8,"backend,frontend"

"EPIC S5: Trust Safety Verification","Epic","Deliver complete trust stack including verification, reports, and score updates.","Highest","souqly,trust,safety","S5 Trust Safety Verification",,,,
"S5-01 Phone and ID verification SLAs","Story","Operationalize verification flows with moderation outcomes.\nAC:\n- OTP TTL/retry policy enforced\n- ID request review queue available for moderators\n- user sees latest verification status consistently","Highest","souqly,verification,moderation",,"S5 Trust Safety Verification","Sprint 5",8,"backend,frontend"
"S5-02 Trust score event recomputation","Story","Ensure trust score recomputes from key events and remains explainable.\nAC:\n- event types mapped to deltas\n- recompute job idempotent\n- trust widget shows current tier and timestamp","High","souqly,trust,scoring",,"S5 Trust Safety Verification","Sprint 5",5,"backend,frontend"
"S5-03 Reporting abuse controls","Story","Harden report flow and anti-abuse controls for false reports/spam.\nAC:\n- report reason enum mandatory\n- reporter cooldown/rate-limit implemented\n- moderator resolution notes required","High","souqly,reports,abuse",,"S5 Trust Safety Verification","Sprint 5",5,"backend"

"EPIC S6: Store Craftsman Subscription","Epic","Complete business and craftsman identity layers with entitlement enforcement.","Highest","souqly,store,craftsman,subscription","S6 Store Craftsman Subscription",,,,
"S6-01 Store profile and public storefront","Story","Finalize store profile UX and storefront tabs.\nAC:\n- owner can edit business profile\n- public storefront renders listings/reviews/about\n- owner view shows subscription badge and renewal CTA","High","souqly,store,frontend",,"S6 Store Craftsman Subscription","Sprint 6",8,"frontend,backend"
"S6-02 Subscription entitlement engine","Story","Enforce plan rules for listing entitlement and feature slots.\nAC:\n- ACTIVE subscription required for unlimited listing entitlement\n- expired subscriptions block new publish/feature actions\n- entitlement checks are server-side only","Highest","souqly,subscription,policy",,"S6 Store Craftsman Subscription","Sprint 6",8,"backend"
"S6-03 Craftsman profile and portfolio","Story","Complete craftsman profile, portfolio, and lead capture constraints.\nAC:\n- profession and experience validations enforced\n- portfolio URL uniqueness checks enforced\n- service-only listing policy remains enforced","High","souqly,craftsman,profile",,"S6 Store Craftsman Subscription","Sprint 6",5,"backend,frontend"

"EPIC S7: Deals Escrow Disputes","Epic","Stabilize monetary lifecycle with idempotent escrow and dispute workflows.","Highest","souqly,deals,escrow,disputes","S7 Deals Escrow Disputes",,,,
"S7-01 Deal FSM and policy guards","Story","Finalize offer-to-deal transition rules and concurrent action safety.\nAC:\n- accepted offer creates deterministic deal\n- concurrent accept actions are safely handled\n- participant access rules enforced","Highest","souqly,deals,fsm",,"S7 Deals Escrow Disputes","Sprint 7",8,"backend"
"S7-02 Escrow idempotency and ledger integrity","Story","Enforce idempotent hold/release/refund and immutable ledger entries.\nAC:\n- Idempotency-Key required for monetary write endpoints\n- duplicate keys return safe idempotent result\n- every monetary event has ledger entries","Highest","souqly,escrow,ledger,idempotency",,"S7 Deals Escrow Disputes","Sprint 7",8,"backend"
"S7-03 Dispute operations tooling","Story","Deliver dispute operational tooling and SLA tracking support.\nAC:\n- dispute queue filter by SLA breach risk\n- staff resolution action requires reason\n- dispute action timeline visible in admin","High","souqly,disputes,admin",,"S7 Deals Escrow Disputes","Sprint 7",5,"backend,frontend"

"EPIC S8: Admin Security Go-Live","Epic","Prepare production launch with admin controls, security closure, and runbooks.","Highest","souqly,admin,security,release","S8 Admin Security Go-Live",,,,
"S8-01 Admin config versioning and rollback","Story","Version system config and support rollback-safe operations.\nAC:\n- config changes create immutable version records\n- rollback endpoint guarded to ADMIN only\n- config diff visible in admin UI","High","souqly,admin,config",,"S8 Admin Security Go-Live","Sprint 8",5,"backend,frontend"
"S8-02 Security closure checklist automation","Story","Automate key pre-release security validations.\nAC:\n- auth/otp brute-force protections validated\n- upload constraints and sanitization checks automated\n- CSRF/cookie-auth posture verified","Highest","souqly,security,qa",,"S8 Admin Security Go-Live","Sprint 8",8,"backend,frontend"
"S8-03 CI/CD deploy and rollback runbooks","Story","Complete staging/prod deployment automation and incident rollback process.\nAC:\n- staging and production workflows pass smoke checks\n- automatic rollback on health failure configured\n- runbooks documented and tested","Highest","souqly,devops,release",,"S8 Admin Security Go-Live","Sprint 8",8,"devops"