Summary,Issue Type,Description,Priority,Labels,Epic Link,Sprint,Story Points,Components
"S1-01-01 Inventory legacy role checks","Task","Scan backend modules and list all runtime legacy role decision points to migrate.","High","souqly,sprint1,rbac,audit","S1 Auth RBAC Identity Core","Sprint 1",2,"backend"
"S1-01-02 Remove set_role action contract","Task","Remove legacy set_role action from admin moderation schema/controller/service contracts.","Highest","souqly,sprint1,rbac,api","S1 Auth RBAC Identity Core","Sprint 1",3,"backend"
"S1-01-03 Migrate policy checks to staffRole","Task","Replace remaining role-based policy decisions with staffRole + ownership checks.","Highest","souqly,sprint1,rbac,security","S1 Auth RBAC Identity Core","Sprint 1",5,"backend"
"S1-01-04 RBAC regression integration tests","Task","Add and update integration tests for ADMIN/MODERATOR/NONE access matrix.","High","souqly,sprint1,tests,rbac","S1 Auth RBAC Identity Core","Sprint 1",3,"backend"
"S1-02-01 Validate refresh rotation behavior","Task","Ensure refresh token rotates each refresh and stale token is rejected.","High","souqly,sprint1,auth,security","S1 Auth RBAC Identity Core","Sprint 1",3,"backend"
"S1-02-02 Enforce revocation on logout/password change","Task","Invalidate refresh chain on logout and password change with deterministic behavior.","Highest","souqly,sprint1,auth,security","S1 Auth RBAC Identity Core","Sprint 1",5,"backend"
"S1-02-03 Auth security event logging","Task","Add structured logs for refresh success/failure/revocation with correlation id.","Medium","souqly,sprint1,observability,auth","S1 Auth RBAC Identity Core","Sprint 1",2,"backend,devops"
"S1-02-04 Session hardening integration tests","Task","Add tests for refresh replay rejection and revoked session behavior.","High","souqly,sprint1,tests,security","S1 Auth RBAC Identity Core","Sprint 1",3,"backend"
"S1-03-01 Update auth/admin API docs","Task","Align API docs examples and contracts with staffRole-only runtime model.","Medium","souqly,sprint1,docs,api","S1 Auth RBAC Identity Core","Sprint 1",2,"backend"
"S1-03-02 Update architecture and assumptions docs","Task","Update architecture and assumptions references to remove legacy role dependency language.","Medium","souqly,sprint1,docs,architecture","S1 Auth RBAC Identity Core","Sprint 1",2,"backend"
"S1-03-03 Final validation and release notes","Task","Run full validation gates and publish Sprint 1 closure notes in tracker/changelog.","High","souqly,sprint1,release,qa","S1 Auth RBAC Identity Core","Sprint 1",2,"backend,frontend"